"""name""","""experience""","""domains""","""feedback""","""languages""","""jurisdiction""","""charge""","""disposal_days""","""firm""","""location""","""pro bono""","""demographics""","""gender"""
"""Jayesh Kapur""","""23""","""Immigration Law Immigration Law Medical Law""","""5.0""","""tamil, telugu, urdu""","""High Court""","""242.45108862087608""","""99.99941825185336""","""Madan LLC""","""Bangalore""","""yes""","""Large Corporations""","""female"""
"""Rohan Basu""","""11""","""Family Law Real Estate Law Media Entertainment Law""","""4.0""","""tamil, telugu""","""High Court""","""318.2287689952678""","""69.75111543208091""","""Chopra Inc""","""Kolkata""","""no""","""Large Corporations""","""male"""
"""Divit Kapoor""","""11""","""Environmental Law Banking Finance Law Real Estate Law""","""1.0""","""malayalam, tamil""","""Specialized Court""","""90.34350405605556""","""83.17201642775761""","""Bora""","""Kolkata""","""no""","""Small Businesses""","""female"""
"""Vardaniya Mallick""","""24""","""Labor Law Intellectual Property Law Medical Law""","""1.0""","""assamese, odia, urdu""","""Supreme Court""","""201.81158526077584""","""69.79119123627976""","""Bhattacharyya""","""Hyderabad""","""no""","""Small Businesses""","""female"""
"""Ivan Koshy""","""21""","""Constitutional Law Banking Finance Law Media Entertainment Law""","""5.0""","""assamese, bengali""","""District Court""","""90.3654135566806""","""76.51800284634244""","""Roy""","""Delhi""","""yes""","""Small Businesses""","""male"""
"""Reyansh Sibal""","""4""","""Corporate Law Intellectual Property Law Medical Law""","""4.0""","""marathi, telugu, urdu""","""Supreme Court""","""482.6946752964993""","""98.26525590339448""","""Chatterjee""","""Kolkata""","""no""","""Large Corporations""","""male"""
"""Vedika Vala""","""8""","""Environmental Law Corporate Law Criminal Law""","""4.0""","""punjabi, urdu""","""Specialized Court""","""413.2677421968127""","""78.99776899982581""","""De Inc""","""Hyderabad""","""no""","""Individuals""","""female"""
"""Aaryahi Sood""","""24""","""Consumer Protection Law Media Entertainment Law Labor Law""","""2.0""","""gujarati, telugu""","""High Court""","""256.8347394604071""","""85.48761065951552""","""Shankar-Sodhi""","""Mumbai""","""no""","""Small Businesses""","""female"""
"""Suhana Bawa""","""3""","""Human Rights Law Labor Law Banking Finance Law""","""3.0""","""odia, tamil, telugu""","""District Court""","""150.621146745652""","""65.59032408079027""","""Keer-Saini""","""Delhi""","""no""","""Large Corporations""","""male"""
"""Anahi Gala""","""22""","""Labor Law Consumer Protection Law Immigration Law""","""""","""gujarati, odia, tamil""","""Supreme Court""","""470.0547973624335""","""""","""Kala Inc""","""Delhi""","""no""","""Large Corporations""","""female"""
"""Gatik Suresh""","""21""","""Corporate Law Environmental Law Environmental Law""","""3.0""","""assamese, bengali, kannada""","""Supreme Court""","""205.06846807713728""","""89.33590020233027""","""Chauhan-Choudhary""","""Bangalore""","""yes""","""Individuals""","""female"""
"""Saanvi Thakur""","""2""","""Labor Law Banking Finance Law Media Entertainment Law""","""3.0""","""kannada, telugu, urdu""","""Specialized Court""","""122.44299425931864""","""79.06561124950257""","""Garde""","""Chennai""","""no""","""Individuals""","""male"""
"""Bhavin Kata""","""24""","""Family Law Civil Law Family Law""","""5.0""","""assamese, odia, telugu""","""District Court""","""303.42397480427974""","""87.16478553476288""","""Dave""","""Bangalore""","""no""","""Large Corporations""","""male"""
"""Shayak Wable""","""12""","""Consumer Protection Law Media Entertainment Law Constitutional Law""","""4.0""","""gujarati, kannada, malayalam""","""High Court""","""474.6983541551672""","""92.70442320755168""","""Dube Ltd""","""Mumbai""","""no""","""Individuals""","""male"""
"""Nakul Varughese""","""6""","""Tax Law Criminal Law Environmental Law""","""5.0""","""bengali, malayalam, urdu""","""Specialized Court""","""51.72363072514516""","""77.77697776635983""","""Shetty""","""Hyderabad""","""yes""","""Individuals""","""male"""
"""Aarush Rajagopalan""","""2""","""Labor Law Medical Law Human Rights Law""","""3.0""","""kannada, malayalam, telugu""","""District Court""","""157.15617946429944""","""67.85606183997331""","""Date-Upadhyay""","""Delhi""","""yes""","""Large Corporations""","""female"""
"""Krish Ramachandran""","""28""","""Medical Law Human Rights Law Family Law""","""4.0""","""kannada, tamil, telugu""","""Supreme Court""","""472.3014381846834""","""117.08361649030223""","""Balasubramanian PLC""","""Delhi""","""no""","""Small Businesses""","""male"""
"""Rhea De""","""21""","""Constitutional Law Civil Law Corporate Law""","""1.0""","""malayalam, punjabi, tamil""","""Specialized Court""","""126.98868508572292""","""80.50090942934591""","""Ganesh""","""Kolkata""","""yes""","""Small Businesses""","""female"""
"""Sahil D’Alia""","""1""","""Labor Law Immigration Law Banking Finance Law""","""5.0""","""malayalam, odia, punjabi""","""Supreme Court""","""100.95955323791894""","""88.54859845219666""","""Dhillon-Kumar""","""Chennai""","""yes""","""Large Corporations""","""male"""
"""Eshani Hayre""","""12""","""Immigration Law Immigration Law Tax Law""","""""","""bengali, marathi, urdu""","""Supreme Court""","""306.584247109912""","""""","""Dora""","""Chennai""","""no""","""Small Businesses""","""female"""
"""Advika Walla""","""26""","""Environmental Law Banking Finance Law Criminal Law""","""4.0""","""odia, punjabi, urdu""","""Specialized Court""","""437.8297204826735""","""142.93582781355727""","""Chaudhuri""","""Kolkata""","""yes""","""Large Corporations""","""female"""
"""Aaryahi Banik""","""22""","""Environmental Law Human Rights Law Environmental Law""","""1.0""","""bengali, hindi""","""Specialized Court""","""264.69941796226675""","""71.33270325166701""","""Bhagat-Singhal""","""Mumbai""","""no""","""Large Corporations""","""female"""
"""Yasmin Kalla""","""29""","""Family Law Family Law Media Entertainment Law""","""1.0""","""malayalam, odia""","""Specialized Court""","""497.55391550803614""","""96.74740820589764""","""Din Group""","""Chennai""","""no""","""Individuals""","""male"""
"""Mahika Varma""","""12""","""Constitutional Law Real Estate Law Family Law""","""4.0""","""gujarati, odia, tamil""","""Specialized Court""","""355.62726479209675""","""79.3867157205884""","""Handa Ltd""","""Delhi""","""no""","""Small Businesses""","""female"""
"""Ira Mall""","""25""","""Consumer Protection Law Consumer Protection Law Banking Finance Law""","""2.0""","""malayalam, tamil, urdu""","""Specialized Court""","""83.33370824470148""","""81.91814543134933""","""Halder LLC""","""Mumbai""","""yes""","""Large Corporations""","""female"""
"""Madhav Agarwal""","""17""","""Medical Law Intellectual Property Law Media Entertainment Law""","""5.0""","""bengali, gujarati, hindi""","""Supreme Court""","""496.7744592568889""","""79.19681968489814""","""Sheth-Shere""","""Bangalore""","""no""","""Small Businesses""","""male"""
"""Kanav Sahni""","""27""","""Intellectual Property Law Tax Law Civil Law""","""5.0""","""kannada, malayalam""","""High Court""","""233.55240655108568""","""73.11517548299122""","""Thaker and Sons""","""Bangalore""","""no""","""Small Businesses""","""male"""
"""Anaya Choudhary""","""27""","""Constitutional Law Medical Law Tax Law""","""3.0""","""assamese, gujarati, hindi""","""High Court""","""179.33114023046713""","""89.38062957323008""","""Bhasin-Mangal""","""Mumbai""","""yes""","""Small Businesses""","""female"""
"""Drishya Rattan""","""10""","""Environmental Law Environmental Law Family Law""","""4.0""","""gujarati, hindi, tamil""","""Specialized Court""","""301.04563261004853""","""67.88245969427646""","""Kalita""","""Delhi""","""no""","""Large Corporations""","""female"""
"""Nitya Talwar""","""28""","""Immigration Law Civil Law Intellectual Property Law""","""""","""bengali, kannada, tamil""","""Supreme Court""","""186.93841631938892""","""""","""Tandon-Kari""","""Bangalore""","""no""","""Individuals""","""female"""
"""Ivana Madan""","""28""","""Media Entertainment Law Media Entertainment Law Medical Law""","""3.0""","""gujarati, hindi, telugu""","""High Court""","""88.90587820406854""","""90.8250440405006""","""Banik-Raval""","""Hyderabad""","""yes""","""Small Businesses""","""female"""
"""Purab Contractor""","""16""","""Tax Law Environmental Law Corporate Law""","""1.0""","""kannada, odia, telugu""","""High Court""","""50.64275438562952""","""96.3365245935216""","""Karan and Sons""","""Delhi""","""no""","""Large Corporations""","""male"""
"""Riya Kannan""","""15""","""Family Law Immigration Law Real Estate Law""","""5.0""","""bengali, malayalam, urdu""","""High Court""","""252.31250881411805""","""83.00717082080666""","""Gole-Balakrishnan""","""Kolkata""","""yes""","""Small Businesses""","""female"""
"""Zoya Verma""","""15""","""Intellectual Property Law Labor Law Environmental Law""","""3.0""","""gujarati, marathi, odia""","""Supreme Court""","""426.5885400019665""","""84.49194098682378""","""Konda and Sons""","""Chennai""","""no""","""Individuals""","""female"""
"""Jhanvi Gaba""","""19""","""Immigration Law Corporate Law Medical Law""","""1.0""","""kannada, marathi""","""Specialized Court""","""307.54183353353443""","""94.31345857750992""","""Dar-Kapur""","""Mumbai""","""yes""","""Small Businesses""","""male"""
"""Shaan Soni""","""12""","""Consumer Protection Law Criminal Law Human Rights Law""","""4.0""","""hindi, marathi, tamil""","""Specialized Court""","""499.6432845245484""","""72.53924051391262""","""Raj""","""Chennai""","""yes""","""Large Corporations""","""male"""
"""Stuvan Krish""","""23""","""Media Entertainment Law Real Estate Law Constitutional Law""","""3.0""","""malayalam, punjabi, telugu""","""Specialized Court""","""179.08099054124""","""84.63014348379997""","""Varughese-Ben""","""Kolkata""","""yes""","""Small Businesses""","""male"""
"""Manikya Gour""","""20""","""Human Rights Law Labor Law Banking Finance Law""","""5.0""","""kannada, odia, telugu""","""District Court""","""176.2047791420249""","""77.1057972918232""","""Sura""","""Bangalore""","""yes""","""Small Businesses""","""female"""
"""Kavya Rattan""","""25""","""Consumer Protection Law Real Estate Law Corporate Law""","""3.0""","""hindi, kannada, malayalam""","""District Court""","""121.8872571052749""","""76.64146784113478""","""Sem and Sons""","""Hyderabad""","""no""","""Small Businesses""","""female"""
"""Diya Bassi""","""3""","""Immigration Law Family Law Tax Law""","""""","""assamese, telugu""","""District Court""","""123.82861471940085""","""""","""Guha""","""Delhi""","""no""","""Individuals""","""female"""
"""Pari Garde""","""5""","""Human Rights Law Tax Law Intellectual Property Law""","""3.0""","""assamese, hindi""","""Supreme Court""","""178.3339682045215""","""110.0898988422""","""Kala-Bera""","""Delhi""","""yes""","""Small Businesses""","""female"""
"""Saksham Amble""","""19""","""Criminal Law Banking Finance Law Criminal Law""","""5.0""","""hindi, malayalam, tamil""","""High Court""","""406.7780203730872""","""79.70191870269346""","""Bali""","""Kolkata""","""no""","""Large Corporations""","""male"""
"""Jivin Kalla""","""7""","""Family Law Banking Finance Law Civil Law""","""1.0""","""gujarati, hindi, kannada""","""High Court""","""457.5905557864015""","""107.45064082745326""","""Jha Group""","""Mumbai""","""no""","""Small Businesses""","""female"""
"""Aaina Ganesan""","""21""","""Constitutional Law Immigration Law Constitutional Law""","""5.0""","""hindi, marathi""","""Supreme Court""","""488.7892263684566""","""106.0318848209144""","""Tara Inc""","""Chennai""","""no""","""Small Businesses""","""female"""
"""Jayan Kaur""","""9""","""Human Rights Law Corporate Law Environmental Law""","""1.0""","""gujarati, odia, urdu""","""Supreme Court""","""154.53034434340367""","""70.7100044022526""","""Kunda""","""Hyderabad""","""no""","""Small Businesses""","""male"""
"""Dhruv Yohannan""","""7""","""Media Entertainment Law Human Rights Law Banking Finance Law""","""2.0""","""assamese, marathi, telugu""","""Specialized Court""","""446.5838955263413""","""73.67383146490732""","""Reddy and Sons""","""Bangalore""","""no""","""Individuals""","""male"""
"""Hiran Dave""","""18""","""Banking Finance Law Consumer Protection Law Constitutional Law""","""5.0""","""malayalam, tamil""","""Specialized Court""","""197.7147901748017""","""128.40754439033526""","""Raman PLC""","""Mumbai""","""no""","""Large Corporations""","""male"""
"""Madhav Malhotra""","""4""","""Human Rights Law Human Rights Law Corporate Law""","""5.0""","""malayalam, odia, tamil""","""District Court""","""100.778245032598""","""116.26388912890717""","""Deshmukh-Raju""","""Hyderabad""","""no""","""Small Businesses""","""male"""
"""Ivan Chaudhuri""","""25""","""Corporate Law Labor Law Banking Finance Law""","""4.0""","""tamil, telugu, urdu""","""District Court""","""441.5112164840745""","""89.52722230007844""","""Srivastava""","""Hyderabad""","""yes""","""Large Corporations""","""male"""
"""Azad Suri""","""28""","""Tax Law Real Estate Law Tax Law""","""""","""gujarati, kannada, odia""","""Supreme Court""","""336.24753558962834""","""""","""Raju""","""Kolkata""","""no""","""Large Corporations""","""male"""
"""Priyansh Choudhry""","""14""","""Corporate Law Intellectual Property Law Criminal Law""","""1.0""","""kannada, punjabi""","""District Court""","""124.12890323647778""","""80.53730395579217""","""Kaur-Mahajan""","""Kolkata""","""yes""","""Individuals""","""male"""
"""Tara Bains""","""18""","""Constitutional Law Family Law Labor Law""","""1.0""","""assamese, kannada, urdu""","""High Court""","""243.42406588085117""","""96.4852907130051""","""Khatri-D’Alia""","""Delhi""","""yes""","""Large Corporations""","""female"""
"""Gokul Sangha""","""26""","""Constitutional Law Intellectual Property Law Human Rights Law""","""4.0""","""gujarati, odia""","""Supreme Court""","""179.26596269468044""","""79.24227148916293""","""Shroff""","""Bangalore""","""yes""","""Small Businesses""","""male"""
"""Jivin Srivastava""","""9""","""Family Law Corporate Law Intellectual Property Law""","""4.0""","""assamese, gujarati, malayalam""","""Supreme Court""","""381.5575559195887""","""59.51469353552423""","""Chokshi""","""Mumbai""","""no""","""Individuals""","""female"""
"""Ranbir Sharaf""","""26""","""Constitutional Law Consumer Protection Law Environmental Law""","""3.0""","""gujarati, hindi, punjabi""","""High Court""","""254.03730378092064""","""70.17666320233424""","""Amble LLC""","""Delhi""","""no""","""Individuals""","""male"""
"""Damini Virk""","""21""","""Environmental Law Consumer Protection Law Labor Law""","""3.0""","""hindi, malayalam, marathi""","""Specialized Court""","""495.1759752978732""","""90.3163912177588""","""Sarkar Ltd""","""Bangalore""","""yes""","""Large Corporations""","""female"""
"""Ivan Dhaliwal""","""2""","""Human Rights Law Labor Law Civil Law""","""5.0""","""gujarati, kannada, odia""","""Specialized Court""","""74.63524201681781""","""73.03399146746119""","""Mammen""","""Chennai""","""yes""","""Individuals""","""male"""
"""Akarsh Karnik""","""20""","""Human Rights Law Environmental Law Criminal Law""","""2.0""","""punjabi, telugu, urdu""","""High Court""","""209.756869761311""","""88.99083802629698""","""Tara LLC""","""Chennai""","""no""","""Large Corporations""","""male"""
"""Urvi Setty""","""28""","""Criminal Law Family Law Consumer Protection Law""","""3.0""","""assamese, hindi, kannada""","""High Court""","""266.8550751994899""","""73.88008440850706""","""Vaidya Group""","""Delhi""","""no""","""Large Corporations""","""male"""
"""Anahi Date""","""15""","""Intellectual Property Law Medical Law Consumer Protection Law""","""""","""marathi, telugu""","""District Court""","""276.4100996367439""","""""","""Tak""","""Mumbai""","""no""","""Individuals""","""female"""
"""Tara Sood""","""28""","""Constitutional Law Consumer Protection Law Criminal Law""","""3.0""","""assamese, gujarati, tamil""","""Supreme Court""","""192.1711200735365""","""102.79747959619787""","""Chakrabarti""","""Bangalore""","""yes""","""Small Businesses""","""female"""
"""Kiara Doctor""","""7""","""Corporate Law Consumer Protection Law Intellectual Property Law""","""1.0""","""bengali, gujarati, hindi""","""District Court""","""378.1581120939056""","""93.71220821460156""","""Dalal""","""Chennai""","""yes""","""Large Corporations""","""female"""
"""Ishita Choudhry""","""12""","""Media Entertainment Law Labor Law Immigration Law""","""2.0""","""bengali, kannada, punjabi""","""High Court""","""443.6361830700386""","""89.8550336802998""","""Sarraf-Sibal""","""Chennai""","""no""","""Individuals""","""female"""
"""Yashvi Bakshi""","""29""","""Constitutional Law Immigration Law Labor Law""","""5.0""","""marathi, odia, telugu""","""District Court""","""472.4236858900384""","""103.18445959605975""","""Chakraborty""","""Mumbai""","""no""","""Individuals""","""female"""
"""Stuvan Cherian""","""8""","""Consumer Protection Law Constitutional Law Family Law""","""1.0""","""assamese, marathi, telugu""","""High Court""","""412.2920195597868""","""97.2091289002102""","""Choudhry Ltd""","""Delhi""","""yes""","""Large Corporations""","""male"""
"""Advik Dora""","""15""","""Criminal Law Family Law Constitutional Law""","""1.0""","""assamese, urdu""","""District Court""","""432.76108878796975""","""111.69844936877053""","""Chaudhry""","""Kolkata""","""no""","""Large Corporations""","""male"""
"""Zara Sant""","""3""","""Environmental Law Intellectual Property Law Environmental Law""","""2.0""","""kannada, malayalam, urdu""","""District Court""","""297.745385278998""","""83.1021110652729""","""Swamy-Hayre""","""Hyderabad""","""no""","""Large Corporations""","""female"""
"""Saksham Jani""","""14""","""Environmental Law Corporate Law Immigration Law""","""5.0""","""punjabi, tamil""","""Specialized Court""","""421.64970189206656""","""83.55547532208737""","""Gara""","""Bangalore""","""yes""","""Large Corporations""","""male"""
"""Aniruddh Yohannan""","""17""","""Media Entertainment Law Consumer Protection Law Family Law""","""4.0""","""odia, punjabi, tamil""","""High Court""","""186.5767591165785""","""70.48336100412982""","""Kapoor Inc""","""Chennai""","""yes""","""Small Businesses""","""male"""
"""Aniruddh Baria""","""4""","""Labor Law Consumer Protection Law Human Rights Law""","""""","""bengali, gujarati, marathi""","""District Court""","""229.31544294914647""","""""","""Bail-Varughese""","""Hyderabad""","""no""","""Small Businesses""","""male"""
"""Kartik Viswanathan""","""18""","""Human Rights Law Banking Finance Law Tax Law""","""3.0""","""assamese, kannada, marathi""","""Supreme Court""","""192.6108562183449""","""104.47154841453668""","""Brar""","""Hyderabad""","""yes""","""Small Businesses""","""male"""
"""Lakshit Mani""","""8""","""Environmental Law Tax Law Environmental Law""","""1.0""","""bengali, telugu""","""District Court""","""260.32430095156644""","""109.499810583932""","""Sane-Loke""","""Kolkata""","""no""","""Small Businesses""","""female"""
"""Devansh Mangal""","""4""","""Human Rights Law Media Entertainment Law Environmental Law""","""3.0""","""bengali, malayalam, marathi""","""District Court""","""178.51082730738636""","""104.4045775213""","""Kunda LLC""","""Hyderabad""","""yes""","""Individuals""","""male"""
"""Nakul Chakraborty""","""2""","""Labor Law Immigration Law Consumer Protection Law""","""4.0""","""marathi, punjabi, urdu""","""Supreme Court""","""482.7251490145011""","""63.08712200175846""","""Bhatia Ltd""","""Mumbai""","""no""","""Large Corporations""","""male"""
"""Hridaan Bhattacharyya""","""6""","""Immigration Law Consumer Protection Law Intellectual Property Law""","""3.0""","""bengali, marathi, urdu""","""High Court""","""190.78008260255064""","""106.247178189911""","""Kanda-Agrawal""","""Delhi""","""no""","""Individuals""","""male"""
"""Faiyaz Shroff""","""22""","""Tax Law Constitutional Law Tax Law""","""5.0""","""marathi, telugu, urdu""","""Specialized Court""","""94.12004214992292""","""62.42222065091894""","""Tripathi-Garg""","""Bangalore""","""no""","""Individuals""","""female"""
"""Nitara Saha""","""10""","""Real Estate Law Tax Law Constitutional Law""","""3.0""","""bengali, odia, urdu""","""Specialized Court""","""287.067724722686""","""103.4717598618352""","""Sandhu and Sons""","""Mumbai""","""yes""","""Small Businesses""","""female"""
"""Riya Sane""","""4""","""Medical Law Banking Finance Law Real Estate Law""","""4.0""","""odia, tamil, urdu""","""Specialized Court""","""75.69458530032936""","""84.48323210143417""","""Basak LLC""","""Delhi""","""yes""","""Individuals""","""female"""
"""Mohanlal Krishnan""","""22""","""Environmental Law Criminal Law Family Law""","""4.0""","""hindi, tamil, telugu""","""Supreme Court""","""99.74442483886124""","""100.53799970900783""","""Zachariah and Sons""","""Mumbai""","""no""","""Small Businesses""","""male"""
"""Yashvi Krish""","""29""","""Intellectual Property Law Immigration Law Consumer Protection Law""","""""","""bengali, punjabi, tamil""","""District Court""","""148.72522513831083""","""""","""Bail Group""","""Chennai""","""no""","""Large Corporations""","""female"""
"""Rasha Deol""","""18""","""Consumer Protection Law Corporate Law Environmental Law""","""5.0""","""kannada, odia, punjabi""","""High Court""","""258.95761244696376""","""107.5675144905922""","""Mahal-Solanki""","""Chennai""","""yes""","""Small Businesses""","""female"""
"""Nirvaan Ramaswamy""","""26""","""Civil Law Real Estate Law Immigration Law""","""4.0""","""tamil, urdu""","""District Court""","""244.9629195390625""","""68.02537880842667""","""Kothari Ltd""","""Kolkata""","""no""","""Large Corporations""","""male"""
"""Indrans Khalsa""","""12""","""Immigration Law Family Law Medical Law""","""1.0""","""hindi, malayalam, urdu""","""Specialized Court""","""409.861337901256""","""79.97317633720233""","""Sarin-Mane""","""Mumbai""","""no""","""Small Businesses""","""male"""
"""Adira Borah""","""2""","""Environmental Law Labor Law Consumer Protection Law""","""4.0""","""bengali, malayalam, telugu""","""District Court""","""382.763594247851""","""75.02858058346447""","""Bhandari and Sons""","""Hyderabad""","""no""","""Individuals""","""female"""
"""Armaan Bhargava""","""10""","""Human Rights Law Corporate Law Family Law""","""3.0""","""gujarati, kannada, punjabi""","""Supreme Court""","""241.8432322958156""","""63.68572720766252""","""Date""","""Chennai""","""no""","""Individuals""","""male"""
"""Nirvi Kalla""","""4""","""Tax Law Medical Law Family Law""","""3.0""","""odia, punjabi, telugu""","""Supreme Court""","""200.16689340903343""","""91.41791351382705""","""Rege-Barad""","""Delhi""","""no""","""Small Businesses""","""female"""
"""Hrishita Raval""","""14""","""Labor Law Family Law Medical Law""","""3.0""","""kannada, malayalam, odia""","""High Court""","""192.41095282767435""","""117.09133676755442""","""Wali LLC""","""Kolkata""","""no""","""Large Corporations""","""female"""
"""Manjari D’Alia""","""16""","""Corporate Law Tax Law Intellectual Property Law""","""5.0""","""hindi, marathi, tamil""","""High Court""","""398.29778928230405""","""130.00357833480012""","""Borra Ltd""","""Hyderabad""","""no""","""Large Corporations""","""male"""
"""Reyansh Kota""","""15""","""Medical Law Environmental Law Media Entertainment Law""","""3.0""","""gujarati, kannada, marathi""","""Specialized Court""","""73.43258279957138""","""91.45733680629372""","""Goda-Chahal""","""Bangalore""","""no""","""Small Businesses""","""male"""
"""Rohan Sehgal""","""8""","""Civil Law Labor Law Environmental Law""","""""","""bengali, malayalam, odia""","""High Court""","""55.76974227977262""","""""","""Randhawa""","""Mumbai""","""no""","""Individuals""","""male"""
"""Miraan Garg""","""14""","""Tax Law Civil Law Tax Law""","""5.0""","""assamese, gujarati, urdu""","""District Court""","""407.9949763669917""","""93.48141956892806""","""Dayal and Sons""","""Chennai""","""yes""","""Large Corporations""","""female"""
"""Dhruv Guha""","""23""","""Tax Law Media Entertainment Law Labor Law""","""4.0""","""hindi, odia, tamil""","""Supreme Court""","""264.7158691950722""","""97.4832479215232""","""Bahri""","""Hyderabad""","""no""","""Small Businesses""","""male"""
"""Ishita Varkey""","""28""","""Media Entertainment Law Media Entertainment Law Human Rights Law""","""1.0""","""bengali, gujarati, punjabi""","""Supreme Court""","""108.8965123491092""","""84.86777023309142""","""Goswami""","""Delhi""","""no""","""Large Corporations""","""female"""
"""Eshani Wali""","""25""","""Environmental Law Intellectual Property Law Real Estate Law""","""4.0""","""marathi, odia, telugu""","""Supreme Court""","""156.00467056752558""","""92.92615388133903""","""Ahuja Group""","""Mumbai""","""yes""","""Individuals""","""female"""
"""Hiran Bhatt""","""8""","""Immigration Law Criminal Law Intellectual Property Law""","""4.0""","""gujarati, kannada, marathi""","""High Court""","""469.6267788938221""","""98.06218056909644""","""Anne PLC""","""Delhi""","""yes""","""Large Corporations""","""male"""
"""Eshani Shukla""","""21""","""Banking Finance Law Immigration Law Media Entertainment Law""","""5.0""","""bengali, gujarati, kannada""","""Supreme Court""","""436.7763390312041""","""81.32310406685502""","""Dhillon""","""Kolkata""","""yes""","""Small Businesses""","""female"""
"""Advika Raja""","""16""","""Civil Law Consumer Protection Law Civil Law""","""5.0""","""hindi, kannada, tamil""","""Supreme Court""","""369.40327260078766""","""88.83758550160518""","""Agrawal""","""Chennai""","""no""","""Large Corporations""","""female"""
"""Ela Sandal""","""13""","""Medical Law Environmental Law Human Rights Law""","""3.0""","""bengali, odia, telugu""","""Supreme Court""","""267.001353651797""","""89.12354821503767""","""Chand-Ramachandran""","""Chennai""","""yes""","""Large Corporations""","""female"""
"""Rania Deshpande""","""18""","""Family Law Banking Finance Law Environmental Law""","""3.0""","""odia, tamil, telugu""","""Specialized Court""","""284.14563178612354""","""102.39604975995786""","""Bhatt""","""Kolkata""","""yes""","""Individuals""","""female"""
"""Farhan Solanki""","""15""","""Real Estate Law Medical Law Intellectual Property Law""","""""","""assamese, marathi, punjabi""","""Specialized Court""","""488.8600408777814""","""""","""Sahni-Dube""","""Delhi""","""no""","""Individuals""","""male"""
"""Shlok Baria""","""21""","""Family Law Environmental Law Constitutional Law""","""2.0""","""odia, punjabi, urdu""","""High Court""","""484.5966997479292""","""89.22686687088523""","""Goyal-Amble""","""Mumbai""","""yes""","""Individuals""","""male"""
"""Vanya Dani""","""24""","""Banking Finance Law Corporate Law Real Estate Law""","""2.0""","""bengali, punjabi, telugu""","""Supreme Court""","""146.8710706036254""","""118.68008203579046""","""Gandhi Ltd""","""Delhi""","""no""","""Individuals""","""male"""
"""Rohan Anand""","""26""","""Human Rights Law Criminal Law Consumer Protection Law""","""3.0""","""hindi, marathi""","""High Court""","""414.99705483739314""","""107.46090228878909""","""Jayaraman""","""Mumbai""","""yes""","""Small Businesses""","""male"""
"""Vihaan Bhatnagar""","""25""","""Human Rights Law Real Estate Law Medical Law""","""2.0""","""kannada, tamil""","""Supreme Court""","""138.75919977515755""","""110.23768573333058""","""Gaba-Kade""","""Hyderabad""","""yes""","""Large Corporations""","""female"""
"""Darshit Karan""","""28""","""Consumer Protection Law Human Rights Law Criminal Law""","""3.0""","""assamese, hindi, telugu""","""Supreme Court""","""146.09186504777813""","""90.36647760267051""","""Sangha""","""Kolkata""","""yes""","""Large Corporations""","""male"""
